Nivel,Ruta Completa,Nombre,Slug,Descripción,Categoría Padre,Slug Padre
0,Refacciones,Refacciones,refacciones,Piezas de repuesto y componentes originales y alternativos para vehículos,,
0,Accesorios,Accesorios,accesorios,"Productos de personalización, mejora y comodidad para vehículos",,
0,Instalación,Instalación,instalacion,Servicios de instalación profesional de refacciones y accesorios,,
1,Accesorios > Audio y Multimedia,Audio y Multimedia,audio-y-multimedia,"Sistemas de audio, pantallas y multimedia",Accesorios,accesorios
1,Instalación > Instalación de Refacciones,Instalación de Refacciones,instalacion-de-refacciones,Servicio profesional de instalación de componentes y piezas de repuesto,Instalación,instalacion
1,Refacciones > Motor,Motor,motor,Componentes del motor y sistema de combustión,Refacciones,refacciones
1,Accesorios > Iluminación,Iluminación,iluminacion,"Luces LED, faros auxiliares y accesorios de iluminación",Accesorios,accesorios
1,Instalación > Instalación de Accesorios,Instalación de Accesorios,instalacion-de-accesorios,"Instalación profesional de accesorios de audio, iluminación y personalización",Instalación,instalacion
1,Refacciones > Sistema de Frenos,Sistema de Frenos,sistema-de-frenos,Componentes del sistema de frenos,Refacciones,refacciones
1,Accesorios > Seguridad,Seguridad,seguridad,"Alarmas, sistemas de seguridad y protección",Accesorios,accesorios
1,Instalación > Servicios de Mantenimiento,Servicios de Mantenimiento,servicios-de-mantenimiento,"Cambio de aceite, alineación, balanceo y mantenimiento preventivo",Instalación,instalacion
1,Refacciones > Suspensión y Dirección,Suspensión y Dirección,suspension-y-direccion,"Componentes de suspensión, dirección y alineación",Refacciones,refacciones
1,Instalación > Diagnóstico y Reparación,Diagnóstico y Reparación,diagnostico-y-reparacion,"Escaneo computarizado, diagnóstico de fallas y servicios de reparación",Instalación,instalacion
1,Accesorios > Estética y Personalización,Estética y Personalización,estetica-y-personalizacion,Accesorios decorativos y de personalización,Accesorios,accesorios
1,Refacciones > Sistema Eléctrico,Sistema Eléctrico,sistema-electrico,Componentes eléctricos y electrónicos del vehículo,Refacciones,refacciones
1,Refacciones > Combustible y Emisiones,Combustible y Emisiones,combustible-y-emisiones,"Sistema de combustible, escape y control de emisiones",Refacciones,refacciones
1,Accesorios > Confort e Interior,Confort e Interior,confort-e-interior,Accesorios de comodidad y organización interior,Accesorios,accesorios
1,Accesorios > Performance,Performance,performance,Accesorios para mejorar el rendimiento del vehículo,Accesorios,accesorios
1,Refacciones > Transmisión y Tren Motriz,Transmisión y Tren Motriz,transmision-y-tren-motriz,Componentes de transmisión y tren motriz,Refacciones,refacciones
1,Accesorios > Carga y Transporte,Carga y Transporte,carga-y-transporte,"Portaequipajes, remolques y accesorios de carga",Accesorios,accesorios
1,Refacciones > Control de Clima,Control de Clima,control-de-clima,Sistema de aire acondicionado y calefacción,Refacciones,refacciones
1,Refacciones > Carrocería y Exterior,Carrocería y Exterior,carroceria-y-exterior,"Componentes de carrocería, cristales y exterior",Refacciones,refacciones
